Région;Ancienne région;Département;Zone d'emploi;EPCI;Nom commune;Commune;Grand secteur d'activité;Secteur NA17;Secteur NA38;Secteur NA88;APE;Code région;Code ancienne région;Code département;Code zone d'emploi;Code EPCI;Code commune;Code APE;Nombre d'établissements 2006;Effectifs salariés 2006;Nombre d'établissements 2007;Effectifs salariés 2007;Nombre d'établissements 2008;Effectifs salariés 2008;Nombre d'établissements 2009;Effectifs salariés 2009;Nombre d'établissements 2010;Effectifs salariés 2010;Nombre d'établissements 2011;Effectifs salariés 2011;Nombre d'établissements 2012;Effectifs salariés 2012;Nombre d'établissements 2013;Effectifs salariés 2013;Nombre d'établissements 2014;Effectifs salariés 2014;Nombre d'établissements 2015;Effectifs salariés 2015;Nombre d'établissements 2016;Effectifs salariés 2016;Nombre d'établissements 2017;Effectifs salariés 2017;Nombre d'établissements 2018;Effectifs salariés 2018;Nombre d'établissements 2019;Effectifs salariés 2019;Nombre d'établissements 2020;Effectifs salariés 2020;Nombre d'établissements 2021;Effectifs salariés 2021;Nombre d'établissements 2022;Effectifs salariés 2022
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4399A Travaux d'étanchéification;28;23;76;2815;200023414;76005;4399A;;;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;45 Commerce et réparation d'automobiles et de motocycles;4511Z Commerce de voitures et de véhicules automobiles légers;28;23;76;2815;200023414;76005;4511Z;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;45 Commerce et réparation d'automobiles et de motocycles;4520A Entretien et réparation de véhicules automobiles légers;28;23;76;2815;200023414;76005;4520A;2;3;2;6;2;7;1;4;1;3;1;3;1;3;1;3;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;45 Commerce et réparation d'automobiles et de motocycles;4531Z Commerce de gros d'équipements automobiles;28;23;76;2815;200023414;76005;4531Z;1;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4663Z Comm de gros de machines pour l'extrac, la constr, le génie civil;28;23;76;2815;200023414;76005;4663Z;1;21;1;25;1;18;1;13;1;13;1;13;1;12;1;11;1;5;1;5;1;4;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4711B Commerce d'alimentation générale;28;23;76;2815;200023414;76005;4711B;;;;;;;;;1;1;1;1;;;;;;;;;;;1;2;1;2;1;2;1;2;1;1;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4781Z Commerce de détail alimentaire sur éventaires et marchés;28;23;76;2815;200023414;76005;4781Z;;;;;;;;;;;;;;;1;2;;;1;0;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS4 Hôtellerie-restauration;IZ Hébergement et restauration;IZ Hébergement et restauration;56 Restauration;5610A Restauration traditionnelle;28;23;76;2815;200023414;76005;5610A;2;2;1;1;1;2;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS4 Hôtellerie-restauration;IZ Hébergement et restauration;IZ Hébergement et restauration;56 Restauration;5610C Restauration de type rapide;28;23;76;2815;200023414;76005;5610C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS4 Hôtellerie-restauration;IZ Hébergement et restauration;IZ Hébergement et restauration;56 Restauration;5629B Autres services de restauration n.c.a.;28;23;76;2815;200023414;76005;5629B;1;4;1;4;1;7;1;8;1;7;1;7;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;3
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;"70 Activités des sièges sociaux ; conseil de gestion";7010Z Activités des sièges sociaux;28;23;76;2815;200023414;76005;7010Z;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;"70 Activités des sièges sociaux ; conseil de gestion";7022Z Conseil pour les affaires et autres conseils de gestion;28;23;76;2815;200023414;76005;7022Z;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;5
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;79 Activités des agences de voyage, voyagistes, services de réservation et activités connexes;7911Z Activités des agences de voyage;28;23;76;2815;200023414;76005;7911Z;1;9;1;7;1;6;2;7;1;6;2;6;1;7;1;7;1;5;1;4;1;5;1;5;1;4;1;5;1;5;1;5;1;6
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;81 Services relatifs aux bâtiments et aménagement paysager;8110Z Activités combinées de soutien lié aux bâtiments;28;23;76;2815;200023414;76005;8110Z;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS7 Services non marchands;OQ Administrations publiques, défense, enseignement, santé humaine et action sociale;QA Activités pour la santé humaine;86 Activités pour la santé humaine;8690E Activité profess. rééducation appareillage & pédicures-podologues;28;23;76;2815;200023414;76005;8690E;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;RU autres activités de services;RZ Arts, spectacles et activités récréatives;93 Activités sportives, récréatives et de loisirs;9311Z Gestion d'installations sportives;28;23;76;2815;200023414;76005;9311Z;1;5;1;5;1;5;1;3;1;4;1;4;1;3;1;1;1;2;1;1;1;5;1;5;1;4;1;6;1;5;1;4;1;4
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;RU autres activités de services;RZ Arts, spectacles et activités récréatives;93 Activités sportives, récréatives et de loisirs;9329Z Autres activités récréatives et de loisirs;28;23;76;2815;200023414;76005;9329Z;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;1;7;1;7;1;7
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Amfreville-la-Mi-Voie;76005 Amfreville-la-Mi-Voie;GS5 Autres services marchands hors intérim;RU autres activités de services;SZ autres activités de services;96 autres services personnels;9604Z Entretien corporel;28;23;76;2815;200023414;76005;9604Z;;;;;;;;;;;;;1;2;1;2;1;2;1;2;1;2;1;3;1;4;1;4;1;5;1;4;1;4
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Inter-Caux-Vexin;Anceaumeville;76007 Anceaumeville;GS1 Industrie;C5 autres produits industriels;CG Industrie des plastiques et autres produits non minéraux;22 Fabrication de produits en caoutchouc et en plastique;2223Z Fabrication d'éléments matières plastiques pour la construction;28;23;76;2815;200070449;76007;2223Z;1;12;1;11;1;12;1;12;1;10;1;10;1;10;1;11;1;7;1;7;1;7;1;6;1;6;1;7;1;5;1;6;1;6
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Inter-Caux-Vexin;Anceaumeville;76007 Anceaumeville;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4642Z Commerce de gros d'habillement et de chaussures;28;23;76;2815;200070449;76007;4642Z;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Inter-Caux-Vexin;Anceaumeville;76007 Anceaumeville;GS5 Autres services marchands hors intérim;KZ Activités financières et d'assurance;KZ Activités financières et d'assurance;64 Activités des services financiers, hors assurance et caisses de retraite;6420Z Activités des sociétés holding;28;23;76;2815;200070449;76007;6420Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Inter-Caux-Vexin;Anceaumeville;76007 Anceaumeville;GS5 Autres services marchands hors intérim;KZ Activités financières et d'assurance;KZ Activités financières et d'assurance;66 Activités auxiliaires de services financiers et d'assurance;6619B Aut. activ. auxil. serv. financ., hors assur. & caisse retr. nca.;28;23;76;2815;200070449;76007;6619B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Inter-Caux-Vexin;Anceaumeville;76007 Anceaumeville;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;77 Activités de location et location-bail;7731Z Location et location-bail de machines et équipements agricoles;28;23;76;2815;200070449;76007;7731Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;1;7;1;9
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Plateau de Caux-Doudeville-Yerville;Ancretiéville-Saint-Victor;76010 Ancretiéville-Saint-Victor;GS2 Construction;FZ Construction;FZ Construction;41 Construction de bâtiments;4110D Supports juridiques de programmes;28;23;76;2815;200069847;76010;4110D;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;CC Plateau de Caux-Doudeville-Yerville;Ancretiéville-Saint-Victor;76010 Ancretiéville-Saint-Victor;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4312B Travaux de terrassement spécialisés ou de grande masse;28;23;76;2815;200069847;76010;4312B;1;6;1;6;1;6;1;6;1;1;1;3;1;2;;;;;;;;;;;;;;;;;;;;
